settings,x [nm],x_std [nm],y [nm],y_std [nm]
10kV_WD10_120000x,1.342,0.0297,1.5403,0.0335
15kV_WD10_100000x,1.6095,0.047,1.7938,0.0528
15kV_WD10_120000x,1.36,0.0381,1.4709,0.0515
10kV_WD10_15000x,10.8696,0.0789,12.016,0.1022
10kV_WD10_10000x,16.3675,0.1788,17.7992,0.2115
10kV_WD10_12000x,13.6241,0.1322,14.9701,0.1596
10kV_WD10_20000x,8.1701,0.0581,8.9837,0.0796
10kV_WD10_25000x,6.4238,0.0421,7.3317,0.0647
10kV_WD10_35000x,4.5831,0.0396,5.178,0.059
10kV_WD10_50000x,3.2329,0.0325,3.5917,0.0471
10kV_WD10_65000x,2.4666,0.0209,2.8011,0.0322
10kV_WD10_80000x,2.0168,0.019,2.2424,0.0286
